2019年03月07日 00小时05分钟37秒 [           main] [ERROR]                                         vip.xjdai.annotation.test.Demo | 我是严重的错误
2019年03月07日 00小时05分钟37秒 [           main] [ INFO]                                         vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 00小时05分钟37秒 [           main] [ WARN]                                         vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 00小时05分钟37秒 [           main] [ERROR]                                         vip.xjdai.annotation.test.Demo | 我是严重的错误
2019年03月07日 00小时05分钟37秒 [           main] [ INFO]                                         vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 00小时05分钟37秒 [           main] [ WARN]                                         vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 00小时05分钟37秒 [           main] [ERROR]                                         vip.xjdai.annotation.test.Demo | 我是严重的错误
2019年03月07日 00小时05分钟37秒 [           main] [ INFO]                                         vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 00小时05分钟37秒 [           main] [ WARN]                                         vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 00小时05分钟37秒 [           main] [ERROR]                                         vip.xjdai.annotation.test.Demo | 我是严重的错误
2019年03月07日 00小时05分钟37秒 [           main] [ INFO]                                         vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 00小时05分钟37秒 [           main] [ WARN]                                         vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 00小时05分钟37秒 [           main] [ERROR]                                         vip.xjdai.annotation.test.Demo | 我是严重的错误
2019年03月07日 00小时05分钟37秒 [           main] [ INFO]                                         vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 00小时05分钟37秒 [           main] [ WARN]                                         vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 00小时05分钟37秒 [           main] [ERROR]                                         vip.xjdai.annotation.test.Demo | 我是严重的错误
2019年03月07日 00小时05分钟37秒 [           main] [ INFO]                                         vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 00小时05分钟37秒 [           main] [ WARN]                                         vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 00小时05分钟37秒 [           main] [ERROR]                                         vip.xjdai.annotation.test.Demo | 我是严重的错误
2019年03月07日 00小时05分钟37秒 [           main] [ INFO]                                         vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 00小时05分钟37秒 [           main] [ WARN]                                         vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 00小时05分钟37秒 [           main] [ERROR]                                         vip.xjdai.annotation.test.Demo | 我是严重的错误
2019年03月07日 00小时05分钟37秒 [           main] [ INFO]                                         vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 00小时05分钟37秒 [           main] [ WARN]                                         vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 00小时05分钟37秒 [           main] [ERROR]                                         vip.xjdai.annotation.test.Demo | 我是严重的错误
2019年03月07日 00小时05分钟37秒 [           main] [ INFO]                                         vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 00小时05分钟37秒 [           main] [ WARN]                                         vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 00小时05分钟37秒 [           main] [ERROR]                                         vip.xjdai.annotation.test.Demo | 我是严重的错误
2019年03月07日 00小时05分钟37秒 [           main] [ INFO]                                         vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 00小时05分钟37秒 [           main] [ WARN]                                         vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 00小时05分钟37秒 [           main] [ERROR]                                         vip.xjdai.annotation.test.Demo | 我是严重的错误
2019年03月07日 00小时05分钟37秒 [           main] [ INFO]                                         vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 00小时05分钟37秒 [           main] [ WARN]                                         vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 00小时05分钟37秒 [           main] [ERROR]                                         vip.xjdai.annotation.test.Demo | 我是严重的错误
