2019年03月08日 15小时53分钟13秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | Starting Demo on DESKTOP-65TVP5T with PID 1644 (started by lwb in F:\SpringDemo\tool\springboot-logbak)
2019年03月08日 15小时53分钟13秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | No active profile set, falling back to default profiles: default
2019年03月08日 15小时53分钟15秒 [           main] [ INFO] duling.concurrent.ThreadPoolTaskExecutor | Initializing ExecutorService 'applicationTaskExecutor'
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | Started Demo in 3.812 seconds (JVM running for 5.834)
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月08日 15小时53分钟16秒 [       Thread-2] [ INFO] duling.concurrent.ThreadPoolTaskExecutor | Shutting down ExecutorService 'applicationTaskExecutor'
