2019年03月07日 17小时05分钟53秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | Starting Demo on DESKTOP-65TVP5T with PID 11776 (started by lwb in F:\SpringDemo\tool\springboot-logbak)
2019年03月07日 17小时05分钟53秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | No active profile set, falling back to default profiles: default
2019年03月07日 17小时05分钟54秒 [           main] [ INFO] duling.concurrent.ThreadPoolTaskExecutor | Initializing ExecutorService 'applicationTaskExecutor'
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | Started Demo in 2.505 seconds (JVM running for 3.262)
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年03月07日 17小时05分钟55秒 [       Thread-2] [ INFO] duling.concurrent.ThreadPoolTaskExecutor | Shutting down ExecutorService 'applicationTaskExecutor'
2019年03月07日 17小时16分钟24秒 [           main] [ INFO] p.xjdai.SpringbootLogbakApplicationTests | Starting SpringbootLogbakApplicationTests on DESKTOP-65TVP5T with PID 8988 (started by lwb in F:\SpringDemo\tool\springboot-logbak)
2019年03月07日 17小时16分钟24秒 [           main] [ INFO] p.xjdai.SpringbootLogbakApplicationTests | No active profile set, falling back to default profiles: default
2019年03月07日 17小时16分钟26秒 [           main] [ INFO] duling.concurrent.ThreadPoolTaskExecutor | Initializing ExecutorService 'applicationTaskExecutor'
